City,State,Shape,Sight_day,Sight_month,Sight_time,Sight_date,Sight_weekday
Solomons Island,MD,Disk,22,9,20:00:00,1997-09-22,Segunda-feira
Annapolis,MD,Triangle,15,8,23:00:00,1998-08-15,Sábado
Chesapeak Bay,MD,Disk,26,10,20:00:00,1999-10-26,Terça-feira
Frederick,MD,Sphere,7,7,01:45:00,2000-07-07,Sexta-feira
Wheaton,MD,Triangle,1,10,20:00:00,2000-10-01,Domingo
Baldwin/Jacksonville,MD,Light,11,2,06:45:00,2001-02-11,Domingo
Baltimore,MD,Sphere,30,12,20:50:00,2001-12-30,Domingo
Hyattsville,MD,Sphere,14,1,13:00:00,2002-01-14,Segunda-feira
Aberdeen,MD,Triangle,10,3,03:00:00,2002-03-10,Domingo
Aquasco,MD,Disk,30,5,00:00:00,2002-05-30,Quinta-feira
Waldorf,MD,Light,26,7,01:30:00,2002-07-26,Sexta-feira
Ocean City,MD,Fireball,15,8,01:00:00,2002-08-15,Quinta-feira
Bowleys Quarters,MD,Other,3,8,22:00:00,2002-08-03,Sábado
Columbia,MD,Triangle,1,11,21:00:00,2002-11-01,Sexta-feira
"Midwest U. S. (on airplane, inflight)",MD,Cigar,20,3,13:00:00,2004-03-20,Sábado
Ocean City,MD,Fireball,15,8,05:30:00,2004-08-15,Domingo
Ellicott City,MD,Disk,10,9,14:20:00,2004-09-10,Sexta-feira
Poolesville/Dickerson,MD,Fireball,31,10,21:30:00,2005-10-31,Segunda-feira
Silver Spring,MD,Triangle,30,10,21:30:00,2005-10-30,Domingo
Laplata,MD,Other,9,11,21:00:00,2005-11-09,Quarta-feira
Hanover,MD,Disk,22,4,17:00:00,2006-04-22,Sábado
Silver Spring,MD,Cigar,20,4,09:10:00,2006-04-20,Quinta-feira
Baltimore,MD,Cigar,15,4,00:00:00,2006-04-15,Sábado
Baltimore,MD,Light,13,5,23:40:00,2006-05-13,Sábado
Gaithersburg,MD,Fireball,22,6,21:00:00,2006-06-22,Quinta-feira
Columbia,MD,Fireball,20,6,21:30:00,2006-06-20,Terça-feira
Massey,MD,Light,26,7,22:55:00,2006-07-26,Quarta-feira
Pasadena,MD,Light,17,7,05:30:00,2006-07-17,Segunda-feira
Edgewood,MD,Oval,23,8,01:00:00,2006-08-23,Quarta-feira
Arnold,MD,Formation,20,8,16:45:00,2006-08-20,Domingo
Ocean City,MD,Circle,10,8,21:00:00,2006-08-10,Quinta-feira
Havre De Grace,MD,Disk,17,9,11:00:00,2006-09-17,Domingo
Silver Spring,MD,Light,4,9,23:58:00,2006-09-04,Segunda-feira
Hanover,MD,Light,20,10,19:07:00,2006-10-20,Sexta-feira
Monkton,MD,Oval,1,10,19:20:00,2006-10-01,Domingo
Highland,MD,Other,28,11,00:00:00,2006-11-28,Terça-feira
Frederick,MD,Light,18,11,21:20:00,2006-11-18,Sábado
Baltimore,MD,Light,25,12,02:00:00,2006-12-25,Segunda-feira
Williamsport,MD,Triangle,23,12,16:00:00,2006-12-23,Sábado
Williamsport,MD,Triangle,17,12,23:07:00,2006-12-17,Domingo
Frostburg,MD,Flash,10,12,20:45:00,2006-12-10,Domingo
