City,State,Shape,Sight_day,Sight_month,Sight_time,Sight_date,Sight_weekday
Solomons Island,MD,Disk,22,9,20:00:00,1997-09-22,Segunda-feira
Garden Grove,CA,Rectangle,19,9,00:00:00,1997-09-19,Sexta-feira
Houston,TX,Disk,15,9,00:00:00,1997-09-15,Segunda-feira
Santa Fe,NM,Light,15,9,20:00:00,1997-09-15,Segunda-feira
Kent,WA,Sphere,15,9,20:00:00,1997-09-15,Segunda-feira
Angola,IN,Circle,15,9,20:00:00,1997-09-15,Segunda-feira
Gulf of Mexico,LA,Cigar,7,9,12:00:00,1997-09-07,Domingo
Albany,ME,Light,1,9,23:00:00,1997-09-01,Segunda-feira
Carlsbad,CA,Light,1,9,22:30:00,1997-09-01,Segunda-feira
Ophir Mountain,UT,Circle,30,10,00:00:00,1997-10-30,Quinta-feira
Milford,CA,Disk,22,10,15:00:00,1997-10-22,Quarta-feira
Gig Harbor,WA,Light,20,10,08:45:00,1997-10-20,Segunda-feira
Attleboro,MA,Light,19,10,02:00:00,1997-10-19,Domingo
Ignacio,CO,Triangle,17,10,20:00:00,1997-10-17,Sexta-feira
Rosburg,WA,Triangle,15,10,20:00:00,1997-10-15,Quarta-feira
Shark River Hills,NJ,Triangle,15,10,19:00:00,1997-10-15,Quarta-feira
Daggett,CA,Rectangle,15,10,17:30:00,1997-10-15,Quarta-feira
New Britain (?),CT,Rectangle,15,10,17:00:00,1997-10-15,Quarta-feira
Bonaire,GA,Triangle,10,10,20:00:00,1997-10-10,Sexta-feira
Mesa,AZ,Sphere,10,10,17:00:00,1997-10-10,Sexta-feira
Waco,TX,Light,3,10,21:30:00,1997-10-03,Sexta-feira
Ringgold,GA,Circle,2,10,02:00:00,1997-10-02,Quinta-feira
Summerville,SC,Triangle,1,10,22:00:00,1997-10-01,Quarta-feira
Green Bay,WI,Light,1,10,19:00:00,1997-10-01,Quarta-feira
Pelzer,SC,Triangle,1,10,19:00:00,1997-10-01,Quarta-feira
Lake Geneva,WI,Fireball,28,11,19:30:00,1997-11-28,Sexta-feira
Plattsmouth,NE,Circle,21,11,12:00:00,1997-11-21,Sexta-feira
Chester,NJ,Circle,15,11,23:00:00,1997-11-15,Sábado
Varysburg,NY,Triangle,15,11,21:30:00,1997-11-15,Sábado
El Centro,CA,Oval,15,11,20:00:00,1997-11-15,Sábado
Stevens Pass,WA,Disk,14,11,22:00:00,1997-11-14,Sexta-feira
Gig Harbor,WA,Formation,14,11,21:00:00,1997-11-14,Sexta-feira
Lynnwood,WA,Oval,14,11,20:00:00,1997-11-14,Sexta-feira
Perkinston,MS,Cigar,9,11,21:00:00,1997-11-09,Domingo
